session_id,customer_id,station_id,session_start,duration_minutes,energy_kwh,wait_time_minutes,amount_paid
1,720,4,2024-12-04 07:15:00,40,47.33,2,809.53
2,135,20,2024-02-28 10:10:00,12,13.01,1,164.04
3,1769,28,2024-10-17 16:57:00,63,52.92,15,734.52
4,649,25,2024-10-19 12:20:00,83,57.1,15,513.93
5,1383,14,2024-06-21 15:32:00,113,145.59,10,1407.31
6,614,24,2025-05-11 13:12:00,73,85.55,2,1403.35
7,1098,14,2024-05-27 08:03:00,48,71.84,12,1152.75
8,1280,48,2025-05-05 02:45:00,118,132.2,10,1418.99
9,1161,34,2024-08-31 13:13:00,54,71.07,9,927.21
10,615,28,2024-12-05 17:20:00,35,34.05,8,485.2
11,929,43,2025-01-25 17:11:00,12,13.98,5,192.48
12,437,43,2025-05-07 23:29:00,44,63.51,13,1101.67
13,1489,41,2024-01-31 16:12:00,56,56.91,7,540.91
14,1404,49,2024-06-02 13:26:00,50,68.71,2,985.25
15,1733,27,2024-05-16 09:41:00,30,24.92,7,300.5
16,233,10,2024-04-08 00:15:00,112,150.58,14,1935.53
17,894,28,2024-11-27 01:12:00,30,25.36,0,268.41
18,1646,18,2024-12-03 17:11:00,92,125.79,15,1990.29
19,114,6,2024-06-09 19:19:00,120,78.87,36,1338.25
20,1376,43,2025-03-29 02:25:00,117,146.46,4,1517.39
21,1170,48,2024-09-13 03:33:00,95,127.88,8,1657.9
22,185,16,2024-11-03 03:49:00,113,99.67,12,1600.54
23,1524,16,2025-04-23 13:13:00,28,19.49,6,344.96
24,901,27,2024-05-10 18:03:00,72,77.77,17,868.29
25,868,31,2024-12-15 07:17:00,110,158.76,11,2024.54
26,754,20,2024-01-11 20:57:00,87,54.93,13,818.83
27,1616,43,2024-05-02 08:35:00,59,51.82,11,882.58
28,1404,8,2024-09-30 07:54:00,66,62.68,12,1082.8
29,1880,17,2024-06-03 02:59:00,115,147.32,9,1488.5
30,1824,11,2025-04-13 14:40:00,50,69.58,13,1105.85
31,562,6,2025-02-25 15:30:00,104,101.05,10,1533.32
32,1796,7,2025-02-26 05:44:00,43,45.4,11,554.28
33,1494,36,2025-01-12 10:29:00,98,61.21,1,882.26
34,377,41,2024-08-15 20:08:00,10,9.61,29,107.03
35,169,8,2024-03-21 07:33:00,101,148.74,4,2449.69
36,1405,27,2025-02-09 10:28:00,71,98.42,4,1043.92
37,1408,38,2025-02-27 10:51:00,46,35.82,13,418.23
38,806,25,2025-04-28 18:14:00,12,17.44,45,252.38
39,1284,15,2025-04-09 02:29:00,35,29.25,5,248.56
40,1266,28,2024-11-03 08:09:00,21,30.71,5,536.58
41,241,1,2025-01-02 16:27:00,108,154.22,14,2509.56
42,1013,8,2024-04-24 22:13:00,34,49.35,8,536.91
43,1013,25,2024-03-07 13:54:00,36,41.04,9,626.56
44,388,27,2024-04-02 13:50:00,28,17.53,8,181.52
45,924,16,2024-07-08 18:43:00,92,93.14,10,1181.84
46,1785,21,2025-05-13 22:25:00,97,76.73,12,1157.44
47,1508,39,2024-05-11 02:06:00,81,52.88,10,915.39
48,965,23,2024-11-06 21:51:00,86,106.52,1,857.87
49,1034,40,2024-07-14 09:25:00,95,88.71,1,1224.63
50,534,11,2024-09-14 15:59:00,53,73.68,4,655.49
51,1455,34,2024-08-09 04:16:00,24,21.17,4,275.04
52,1994,18,2025-01-17 11:59:00,65,55.55,8,784.88
53,1560,17,2024-09-21 10:27:00,31,27.4,15,428.45
54,310,36,2025-03-12 21:40:00,112,111.55,6,1058.19
55,471,12,2024-01-19 15:16:00,30,37.06,13,339.48
56,1834,32,2024-01-21 14:22:00,100,110.48,14,1428.49
57,1733,47,2025-03-19 04:07:00,54,36.95,9,362.35
58,345,48,2024-09-17 08:36:00,94,105.95,0,1404.91
59,1169,12,2024-08-01 02:15:00,108,113.22,3,1910.44
60,54,19,2024-12-14 21:07:00,60,56.17,3,919.49
61,315,2,2024-02-11 14:53:00,100,119.36,14,1704.89
62,552,39,2024-12-02 00:21:00,15,17.86,14,200.91
63,1499,47,2025-04-09 18:08:00,37,50.95,28,572.26
64,114,48,2024-02-06 17:38:00,58,39.63,8,387.59
65,1977,50,2025-03-19 12:05:00,12,16.41,5,195.03
66,825,19,2024-11-27 20:09:00,25,21.72,37,333.6
67,1888,20,2025-04-07 21:38:00,26,24.0,3,391.69
68,1050,13,2024-09-07 14:56:00,59,60.7,13,540.36
69,866,24,2024-11-10 05:27:00,90,88.51,1,1162.44
70,1994,30,2024-12-12 07:41:00,97,120.5,15,1599.37
71,1326,34,2024-02-12 09:29:00,65,43.63,15,480.1
72,262,44,2025-04-07 09:53:00,41,43.9,9,600.79
73,1129,5,2025-04-14 01:32:00,23,24.37,13,217.99
74,1354,47,2024-10-18 08:22:00,42,47.33,0,432.57
75,1355,30,2024-04-01 05:53:00,60,38.44,13,644.54
76,610,21,2024-10-27 23:29:00,106,127.54,8,1455.66
77,1881,12,2024-04-18 05:05:00,105,155.82,8,2604.71
78,218,28,2024-09-30 00:00:00,60,42.3,5,615.8
79,943,45,2024-07-26 21:47:00,87,109.04,9,1546.73
80,1995,40,2024-07-03 22:43:00,98,118.34,9,1050.43
81,277,1,2024-04-07 03:52:00,12,14.72,6,244.21
82,429,31,2024-11-28 04:41:00,40,39.69,6,351.69
83,1577,30,2024-03-16 15:27:00,12,8.46,4,130.18
84,912,32,2024-08-29 00:55:00,67,75.49,6,826.49
85,1699,26,2024-01-27 10:00:00,23,26.85,13,477.79
86,1738,32,2025-01-12 18:38:00,103,113.18,28,947.34
87,819,32,2024-09-19 18:46:00,88,126.87,41,1309.18
88,125,34,2024-01-10 13:36:00,50,54.9,8,929.39
89,855,31,2024-02-29 15:39:00,92,83.91,13,688.74
90,590,47,2024-04-08 15:22:00,66,53.39,7,740.87
91,1403,22,2025-04-16 19:54:00,117,145.51,39,1354.93
92,601,47,2024-12-30 12:26:00,116,167.86,11,2679.0
93,1638,11,2024-11-14 06:18:00,98,124.88,15,1160.26
94,409,11,2024-11-06 15:06:00,111,108.16,15,1193.71
95,429,36,2024-01-25 00:22:00,43,39.62,5,386.18
96,1761,33,2024-01-17 02:21:00,65,45.67,7,420.48
97,459,32,2024-05-12 10:50:00,55,71.08,8,1205.74
98,1748,45,2025-03-23 16:38:00,95,65.9,1,1137.85
99,897,30,2025-05-07 03:06:00,110,126.45,3,2053.06
100,86,33,2024-02-23 05:40:00,25,34.59,11,331.04
101,599,46,2024-08-14 16:31:00,103,142.49,4,2061.96
102,686,9,2024-03-03 06:28:00,63,81.41,0,850.99
103,1658,31,2024-06-23 09:32:00,31,20.98,11,317.89
104,850,24,2024-11-18 21:15:00,29,37.06,13,588.22
105,283,28,2024-07-30 13:57:00,68,99.05,11,1727.17
106,907,10,2025-01-29 00:45:00,113,120.41,2,1065.36
107,645,26,2025-01-30 05:27:00,17,16.22,1,236.84
108,1314,10,2025-04-07 18:03:00,90,133.38,43,2364.38
109,859,26,2025-03-29 21:44:00,80,110.9,10,1895.54
110,17,18,2025-04-05 16:39:00,28,34.45,14,497.42
111,1818,35,2024-11-15 19:41:00,66,81.03,35,1276.55
112,1805,20,2024-02-13 01:34:00,52,49.45,4,652.97
113,1108,19,2024-04-19 02:32:00,80,70.48,10,1097.41
114,328,2,2024-01-15 17:37:00,43,35.14,9,536.42
115,1035,8,2025-01-09 01:53:00,57,47.53,11,439.09
116,1550,42,2025-04-26 03:28:00,48,53.53,0,670.81
117,484,48,2024-10-24 18:45:00,90,107.91,24,1241.33
118,583,43,2025-02-05 22:36:00,96,69.69,12,919.68
119,508,7,2024-06-16 16:37:00,34,45.58,11,571.71
120,301,46,2024-08-05 13:05:00,21,13.78,4,175.87
121,914,5,2024-07-08 21:33:00,61,68.89,12,1151.85
122,1197,32,2024-11-21 13:28:00,98,140.92,15,2158.5
123,854,11,2024-03-14 16:08:00,72,89.28,4,1578.5
124,1052,34,2024-03-01 22:13:00,68,69.77,5,1216.84
