feedback_id,customer_id,rating,complaint_type,feedback_date
1,1059,3,No Complaint,2025-07-08
2,131,3,No Complaint,2025-10-06
3,1086,1,Slow Charging,2025-10-04
4,1785,3,No Complaint,2026-01-22
5,1819,1,Slow Charging,2025-11-29
6,1237,1,Slow Charging,2025-11-27
7,58,5,Slow Charging,2026-01-12
8,419,2,Long Wait Time,2025-08-29
9,54,4,No Complaint,2025-06-08
10,849,5,No Complaint,2025-09-22
11,1661,2,Payment Failure,2025-08-12
12,1020,1,Payment Failure,2026-04-04
13,291,3,Slow Charging,2025-07-16
14,1164,1,Payment Failure,2025-09-21
15,1703,4,No Complaint,2026-03-16
16,97,2,Long Wait Time,2026-02-05
17,1635,4,Slow Charging,2025-07-08
18,800,4,No Complaint,2025-05-30
19,480,4,No Complaint,2025-07-31
20,72,4,No Complaint,2026-03-21
21,1578,4,No Complaint,2025-09-06
22,1438,1,Port Not Working,2025-08-19
23,274,5,No Complaint,2025-08-30
24,312,1,Slow Charging,2025-12-01
25,1609,2,Payment Failure,2025-12-12
26,756,5,Slow Charging,2025-12-14
27,1139,2,Slow Charging,2025-12-17
28,771,3,No Complaint,2026-01-21
29,1817,3,Slow Charging,2026-04-10
30,1130,4,Slow Charging,2025-08-19
31,1300,3,No Complaint,2026-04-19
32,235,3,No Complaint,2025-07-05
33,991,5,No Complaint,2026-03-10
34,1925,4,Slow Charging,2025-07-02
35,40,1,Slow Charging,2025-06-06
36,479,1,Long Wait Time,2025-10-28
37,1390,3,No Complaint,2026-01-29
38,1228,1,Payment Failure,2026-01-23
39,1852,3,Slow Charging,2025-08-09
40,390,5,No Complaint,2025-11-16
41,249,4,No Complaint,2025-06-08
42,995,4,No Complaint,2026-03-31
43,1889,3,No Complaint,2025-09-24
44,145,4,No Complaint,2025-10-17
45,549,2,Slow Charging,2025-12-07
46,987,1,Long Wait Time,2025-11-09
47,1669,1,Slow Charging,2026-01-27
48,1158,4,No Complaint,2025-07-05
49,1499,2,Payment Failure,2025-07-11
50,969,3,Slow Charging,2025-06-30
51,1591,2,Slow Charging,2025-06-18
52,1125,5,No Complaint,2025-07-12
53,968,4,No Complaint,2026-04-18
54,1560,4,No Complaint,2025-11-20
55,1658,1,Slow Charging,2025-12-23
56,397,3,Slow Charging,2026-01-02
57,237,5,Slow Charging,2025-10-30
58,1699,2,Long Wait Time,2025-09-19
59,157,4,Slow Charging,2025-07-06
60,1870,3,No Complaint,2025-12-06
61,1197,5,Slow Charging,2026-02-27
62,432,2,Poor App Experience,2025-11-18
63,1618,4,Slow Charging,2025-10-06
64,371,4,No Complaint,2026-02-04
65,1770,2,Slow Charging,2025-08-24
66,732,3,No Complaint,2025-08-04
67,1503,3,No Complaint,2025-07-02
68,1158,3,No Complaint,2025-10-23
69,1318,2,Port Not Working,2025-05-25
70,576,3,Slow Charging,2025-09-10
71,864,1,Long Wait Time,2026-03-31
72,1053,4,No Complaint,2025-10-05
73,1930,3,Slow Charging,2025-09-10
74,563,5,No Complaint,2025-12-11
75,1941,4,No Complaint,2026-01-22
76,1091,3,Slow Charging,2026-04-05
77,232,1,Payment Failure,2025-05-18
78,141,5,No Complaint,2025-07-16
79,1033,1,Port Not Working,2026-03-26
80,374,5,No Complaint,2025-08-18
81,361,5,No Complaint,2025-11-24
82,725,3,Slow Charging,2026-03-26
83,737,3,No Complaint,2026-03-02
84,1285,1,Payment Failure,2026-02-07
85,604,2,Payment Failure,2025-07-06
86,1371,2,Port Not Working,2025-05-19
87,559,2,Long Wait Time,2025-08-21
88,1474,4,No Complaint,2026-02-04
89,1157,3,Slow Charging,2025-10-21
90,92,1,Poor App Experience,2026-04-08
91,621,3,Slow Charging,2026-02-28
92,748,4,Slow Charging,2025-11-25
93,480,2,Payment Failure,2025-11-06
94,772,2,Long Wait Time,2025-06-21
95,829,4,No Complaint,2025-09-10
96,695,1,Payment Failure,2025-06-15
97,859,2,Slow Charging,2025-12-21
98,448,5,No Complaint,2026-03-11
99,1567,5,No Complaint,2026-03-02
100,1760,2,Long Wait Time,2025-08-24
101,375,3,No Complaint,2025-07-14
102,126,3,Slow Charging,2026-03-26
103,1578,2,Poor App Experience,2025-06-03
104,877,5,No Complaint,2025-09-27
105,1839,5,No Complaint,2025-12-09
106,474,1,Payment Failure,2026-02-21
107,1270,4,Slow Charging,2026-03-11
108,1206,3,No Complaint,2025-06-17
109,865,5,No Complaint,2025-10-03
110,1239,5,No Complaint,2026-01-15
111,568,5,No Complaint,2025-12-06
112,1601,5,No Complaint,2025-05-06
113,885,3,Slow Charging,2025-07-15
114,1165,4,No Complaint,2025-08-24
115,329,2,Payment Failure,2025-10-16
116,747,2,Poor App Experience,2025-05-26
117,205,4,Slow Charging,2025-10-23
118,1326,2,Long Wait Time,2025-07-15
119,1366,2,Slow Charging,2025-11-27
120,241,4,No Complaint,2025-11-02
121,284,1,Poor App Experience,2025-05-12
122,912,2,Payment Failure,2025-05-21
123,1346,2,Port Not Working,2026-04-05
124,476,2,Poor App Experience,2025-09-01
125,1564,2,Payment Failure,2025-12-14
126,1702,1,Long Wait Time,2025-08-07
127,323,5,No Complaint,2025-08-09
128,1946,4,Slow Charging,2026-03-07
129,879,1,Poor App Experience,2026-02-25
130,1481,4,Slow Charging,2026-03-25
131,246,1,Slow Charging,2026-01-21
132,1613,1,Payment Failure,2025-07-05
133,242,2,Port Not Working,2025-05-09
134,1983,5,No Complaint,2025-10-14
135,302,5,Slow Charging,2026-03-06
136,1937,1,Payment Failure,2025-08-18
137,1926,2,Slow Charging,2026-03-19
138,1821,4,Slow Charging,2026-01-01
139,450,4,No Complaint,2026-01-28
140,1082,1,Slow Charging,2025-07-23
141,1507,3,No Complaint,2025-12-24
142,503,5,No Complaint,2025-11-29
143,748,2,Long Wait Time,2025-10-26
144,829,2,Long Wait Time,2026-02-27
145,1407,4,No Complaint,2026-03-27
146,586,3,Slow Charging,2025-08-01
147,24,3,Slow Charging,2025-12-23
148,527,4,Slow Charging,2026-03-05
149,978,2,Long Wait Time,2025-05-20
150,1063,5,No Complaint,2025-09-24
151,102,2,Long Wait Time,2025-06-26
152,729,3,No Complaint,2026-04-02
153,1017,2,Payment Failure,2026-04-18
154,1049,3,Slow Charging,2025-11-04
155,1916,2,Port Not Working,2025-06-12
156,1394,3,Slow Charging,2026-02-15
157,1466,2,Poor App Experience,2025-10-22
158,1678,5,No Complaint,2025-11-02
159,160,4,Slow Charging,2026-04-06
160,1341,1,Port Not Working,2025-11-23
161,36,2,Long Wait Time,2025-12-31
162,1977,4,Slow Charging,2025-12-01
163,1145,2,Long Wait Time,2025-07-24
164,1413,2,Port Not Working,2025-11-08
