log_id,station_id,issue_type,downtime_hours,repair_cost,issue_date
1,49,Cooling Failure,38,8911.9875,18-07-2024
2,41,Software Error,15,6506.2575,09-08-2024
3,17,Software Error,32,11986.275,13-01-2025
4,38,Cooling Failure,48,1092.5075,17-04-2026
5,46,Cooling Failure,12,7977.725,04-11-2024
6,35,Software Error,32,2961.7175,31-05-2024
7,46,Network Issue,13,8105.1125,02-12-2025
8,46,Network Issue,25,6222.98,07-02-2025
9,23,Cooling Failure,4,7231.365,28-06-2025
10,45,Network Issue,33,5517.625,23-10-2024
11,48,Power Outage,23,7221.055,19-02-2026
12,40,Software Error,8,10609.8575,13-08-2024
13,20,Cooling Failure,26,8227.7025,03-11-2025
14,10,Network Issue,9,7310.1775,25-02-2025
15,22,Software Error,15,7843.41,21-09-2024
16,43,Network Issue,26,7168.175,28-07-2024
17,4,Port Failure,5,12159.63,24-01-2025
18,22,Network Issue,26,6814.025,13-07-2025
19,40,Cooling Failure,38,8797.4375,22-08-2025
20,48,Network Issue,37,10675.7175,03-06-2025
21,50,Power Outage,6,5705.9225,04-04-2026
22,37,Network Issue,35,5236.6225,19-05-2025
23,41,Software Error,13,12298.6825,24-02-2025
24,30,Power Outage,22,11750.7,08-12-2024
25,22,Power Outage,24,11221.15,12-05-2025
26,35,Software Error,41,9542.81,21-06-2024
27,36,Port Failure,18,2994.6625,10-11-2025
28,9,Network Issue,36,7929.9075,11-08-2025
29,21,Power Outage,19,11148.415,05-03-2026
30,31,Software Error,37,6878.285,12-07-2025
31,39,Port Failure,31,7429.64,14-12-2025
32,48,Network Issue,26,7303.56,02-04-2025
33,34,Software Error,8,8443.5975,02-05-2025
34,7,Network Issue,46,4305.1,28-11-2024
35,35,Software Error,22,10309.2575,09-03-2026
36,39,Software Error,41,10621.18,10-02-2025
37,24,Network Issue,29,11862.9375,20-06-2024
38,25,Power Outage,46,10422.6575,28-04-2025
39,39,Software Error,23,4330.78,28-04-2025
40,26,Port Failure,14,10730.23,01-11-2025
41,1,Port Failure,4,941.4825,28-12-2025
42,45,Port Failure,36,804.3575,15-05-2025
43,29,Port Failure,18,2586.2925,14-11-2025
44,42,Port Failure,48,608.62,24-11-2025
45,40,Port Failure,6,3181.3875,11-07-2025
46,9,Port Failure,34,5854.0275,27-04-2025
47,41,Network Issue,10,8990.1175,17-10-2024
48,40,Power Outage,44,10192.495,10-06-2025
49,47,Cooling Failure,19,3558.1925,03-10-2024
50,50,Software Error,11,5367.76,03-05-2026
51,40,Power Outage,25,922.525,05-02-2026
52,25,Network Issue,16,5174.8775,17-11-2024
53,41,Network Issue,6,5303.4325,31-05-2025
54,15,Power Outage,17,9123.185,19-01-2026
55,21,Cooling Failure,20,645.585,11-02-2025
56,3,Cooling Failure,41,6502.5075,27-05-2024
57,24,Port Failure,20,5804.36,18-02-2026
58,11,Network Issue,38,7923.06,10-01-2025
59,50,Network Issue,32,605.27,05-03-2026
60,6,Cooling Failure,32,2224.4425,17-02-2026
61,22,Network Issue,33,6128.8125,01-10-2024
62,6,Power Outage,18,8569.2975,22-08-2024
63,43,Software Error,15,1811.17,25-06-2024
64,9,Power Outage,14,2531.31,01-07-2025
65,46,Software Error,21,9610.97,22-09-2024
66,10,Network Issue,3,8060.44,13-02-2026
67,6,Cooling Failure,12,11388.0325,19-01-2025
68,48,Network Issue,20,7639.6775,03-10-2024
69,39,Network Issue,6,1125.5725,22-06-2025
70,1,Port Failure,48,11837.165,30-07-2024
71,9,Power Outage,33,9531.2425,18-06-2025
72,50,Cooling Failure,7,2183.3975,02-12-2024
73,15,Power Outage,17,5217.415,18-11-2024
74,32,Network Issue,32,8286.395,29-01-2025
75,11,Network Issue,26,10474.245,17-07-2024
76,38,Network Issue,3,11333.8575,26-03-2025
77,11,Network Issue,26,1524.4375,01-12-2025
78,21,Software Error,17,3348.7975,26-11-2025
79,12,Port Failure,38,7600.67,30-06-2024
80,39,Network Issue,33,1005.235,19-07-2025
81,18,Port Failure,37,7649.4475,17-06-2024
82,42,Cooling Failure,5,12433.4225,19-03-2026
83,1,Port Failure,42,1900.035,14-03-2025
84,24,Port Failure,39,11677.87,25-07-2025
85,47,Cooling Failure,30,603.5475,21-02-2025
86,29,Power Outage,20,3188.8925,11-06-2025
87,41,Power Outage,43,12244.8375,14-04-2026
88,41,Network Issue,48,11486.1975,17-02-2026
89,10,Cooling Failure,6,8600.7225,31-01-2026
90,14,Network Issue,36,1883.3725,13-12-2024
91,24,Port Failure,24,4736.635,22-02-2026
92,42,Power Outage,46,8196.1625,02-03-2026
93,44,Software Error,43,696.4725,19-12-2024
94,18,Cooling Failure,18,4155.675,23-09-2025
95,49,Network Issue,10,9461.7325,02-06-2024
96,22,Power Outage,38,2230.6975,12-02-2026
97,22,Network Issue,11,2737.415,06-05-2025
98,50,Software Error,19,8834.325,16-01-2025
99,41,Port Failure,37,3975.6825,23-01-2026
100,43,Power Outage,41,6884.9675,14-06-2025
101,46,Software Error,19,2613.2975,28-08-2024
102,39,Port Failure,37,2751.89,26-05-2024
103,31,Port Failure,36,6255.7975,29-10-2024
104,9,Power Outage,10,3505.875,30-07-2025
105,18,Software Error,26,2757.3525,24-01-2026
106,30,Network Issue,34,10728.81,24-03-2025
107,48,Power Outage,19,10056.965,19-03-2025
108,15,Power Outage,2,599.0775,11-12-2024
109,40,Network Issue,43,7153.335,25-11-2024
110,24,Power Outage,34,2305.8625,17-03-2025
111,23,Software Error,32,3772.0775,02-01-2025
112,39,Power Outage,10,7281.1325,17-06-2025
113,33,Cooling Failure,31,3678.1075,31-05-2024
114,2,Cooling Failure,3,7376.5975,07-05-2024
115,17,Network Issue,28,796.39,09-08-2024
116,27,Power Outage,19,8482.845,14-02-2026
117,47,Cooling Failure,16,616.035,08-09-2025
118,50,Power Outage,42,1334.8325,07-07-2024
119,24,Port Failure,5,9623.755,08-08-2024
120,50,Cooling Failure,8,6350.9225,18-06-2025
121,22,Network Issue,31,10549.19,20-12-2025
122,6,Software Error,42,3351.06,15-05-2024
123,24,Network Issue,42,11948.055,18-05-2024
124,29,Cooling Failure,25,2409.3025,22-03-2026
125,40,Network Issue,4,1523.0375,26-11-2024
126,40,Software Error,28,9695.5975,11-04-2025
127,15,Software Error,25,4983.2925,17-08-2025
128,29,Cooling Failure,34,3050.23,31-03-2026
129,29,Port Failure,4,8046.9175,30-01-2026
130,14,Port Failure,43,8592.14,07-04-2025
131,50,Network Issue,26,7142.8875,15-01-2026
132,39,Network Issue,29,1109.1275,22-03-2025
133,16,Software Error,16,3270.515,29-01-2025
134,28,Network Issue,20,11662.74,09-09-2024
135,35,Power Outage,26,11297.6675,04-02-2026
136,37,Cooling Failure,5,939.975,26-05-2024
137,36,Software Error,1,11083.9975,03-12-2024
138,4,Port Failure,31,9176.3175,23-03-2025
139,27,Port Failure,3,936.2375,27-08-2025
140,40,Network Issue,23,6182.4225,16-11-2025
141,18,Port Failure,19,9733.8525,18-07-2025
142,41,Software Error,6,11865.725,15-02-2025
143,31,Software Error,47,633.87,03-03-2025
144,14,Port Failure,5,4935.255,16-02-2026
145,7,Cooling Failure,37,9599.7825,31-01-2026
146,6,Cooling Failure,20,9586.1425,29-11-2024
147,45,Port Failure,8,5832.5525,13-03-2026
148,46,Power Outage,25,3345.11,12-11-2025
149,47,Cooling Failure,10,10578.8225,10-09-2025
150,7,Software Error,19,3638.825,21-05-2025
